month,posts
2020-01,346k
2020-02,339k
2020-03,354k
2020-04,415k
2020-05,429k
2020-06,396k
2020-07,385k
2020-08,346k
2020-09,330k
2020-10,331k
2020-11,313k
2020-12,313k
2021-01,325k
2021-02,303k
2021-03,338k
2021-04,310k
2021-05,308k
2021-06,297k
2021-07,286k
2021-08,283k
2021-09,278k
2021-10,274k
2021-11,271k
2021-12,258k
2022-01,274k
2022-02,260k
2022-03,278k
2022-04,260k
2022-05,264k
2022-06,256k
2022-07,255k
2022-08,262k
2022-09,243k
2022-10,244k
2022-11,250k
2022-12,221k
2023-01,224k
2023-02,197k
2023-03,202k
2023-04,157k
2023-05,153k
2023-06,145k
2023-07,144k
2023-08,139k
2023-09,124k
2023-10,123k
2023-11,118k
2023-12,100k
2024-01,113k
2024-02,108k
2024-03,106k
2024-04,100k
2024-05,96k
2024-06,83k
2024-07,88k
2024-08,79k
2024-09,70k
2024-10,67k
2024-11,60k
2024-12,51k
2025-01,53k
2025-02,46k
2025-03,44k
2025-04,35k
2025-05,30k
2025-06,14k
